SliceNo,Position,Size
31,"158,132","3,5"
32,"152,127","11,17"
33,"151,126","13,19"
34,"150,125","16,21"
35,"148,124","19,22"
36,"147,123","21,25"
37,"143,122","26,26"
38,"143,121","27,28"
39,"142,120","29,30"
40,"142,119","31,32"
41,"142,118","31,35"
42,"142,117","32,36"
43,"142,116","33,38"
44,"142,115","33,39"
45,"140,115","36,39"
46,"140,114","37,40"
47,"141,113","37,41"
48,"140,112","39,42"
49,"140,111","39,43"
50,"140,110","39,45"
51,"139,109","40,46"
52,"138,107","42,48"
53,"138,107","42,47"
54,"138,106","42,49"
55,"138,106","42,49"
56,"137,105","42,52"
57,"137,104","42,55"
58,"137,104","42,59"
59,"137,104","42,59"
60,"137,103","43,58"
61,"137,103","43,59"
62,"137,103","42,60"
63,"137,103","42,61"
64,"137,102","42,58"
65,"137,101","41,58"
66,"137,101","40,57"
67,"137,103","40,53"
68,"137,104","41,52"
69,"137,105","39,51"
70,"137,105","39,50"
71,"138,107","38,48"
72,"139,106","38,48"
73,"140,107","36,46"
74,"141,108","34,44"
75,"142,109","34,42"
76,"143,110","33,40"
77,"144,110","32,38"
78,"146,111","29,36"
79,"147,112","27,35"
80,"149,113","25,34"
81,"150,114","22,32"
82,"151,114","21,31"
83,"152,115","19,29"
84,"153,117","17,25"
85,"154,119","15,22"
86,"156,121","12,18"
87,"157,124","9,13"
88,"160,128","3,4"
