SliceNo,Position,Size
64,"145,79","11,29"
65,"134,79","22,28"
66,"129,73","28,34"
67,"126,71","33,34"
68,"123,69","35,37"
69,"123,66","35,40"
70,"121,69","37,38"
71,"121,72","38,34"
72,"117,71","43,35"
73,"117,69","43,37"
74,"119,66","42,41"
75,"119,66","43,41"
76,"119,66","43,41"
77,"115,66","47,41"
78,"115,66","47,42"
79,"114,66","46,43"
80,"114,67","46,42"
81,"114,67","46,42"
82,"114,68","45,42"
83,"114,68","45,41"
84,"116,67","43,42"
85,"122,67","37,38"
86,"124,67","35,36"
87,"124,67","35,35"
88,"124,67","34,35"
89,"125,67","33,35"
90,"125,67","33,35"
91,"127,67","30,34"
92,"130,69","28,30"
93,"134,69","23,26"
94,"135,70","22,18"
95,"136,70","19,18"
96,"137,71","19,14"
97,"139,72","14,11"
98,"141,76","10,5"
