SliceNo,Position,Size
43,"145,56","8,7"
44,"141,51","15,14"
45,"140,49","18,18"
46,"139,47","19,25"
47,"138,46","20,32"
48,"138,45","21,37"
49,"138,43","23,40"
50,"138,43","24,44"
51,"137,42","25,46"
52,"137,42","25,47"
53,"136,41","27,53"
54,"134,41","29,53"
55,"133,41","31,56"
56,"131,41","33,59"
57,"130,40","34,60"
58,"127,40","37,61"
59,"124,40","41,61"
60,"124,40","41,62"
61,"124,40","41,61"
62,"124,40","42,61"
63,"122,39","45,62"
64,"122,38","46,63"
65,"113,38","55,63"
66,"112,38","56,63"
67,"112,39","56,62"
68,"112,39","57,62"
69,"112,39","57,62"
70,"112,38","57,63"
71,"112,37","57,64"
72,"112,37","58,64"
73,"115,36","55,65"
74,"118,37","51,64"
75,"118,36","51,64"
76,"120,38","48,62"
77,"120,37","48,64"
78,"120,37","48,64"
79,"123,38","45,63"
80,"124,38","44,62"
81,"125,37","43,59"
82,"126,38","41,58"
83,"126,38","39,58"
84,"126,39","38,56"
85,"128,40","36,55"
86,"128,41","35,52"
87,"128,42","35,51"
88,"128,43","34,50"
89,"129,43","33,49"
90,"129,44","33,47"
91,"129,45","33,46"
92,"129,45","33,46"
93,"130,45","31,44"
94,"131,46","30,42"
95,"132,47","28,37"
96,"132,48","28,36"
97,"132,49","28,35"
98,"132,49","28,33"
99,"134,50","21,31"
100,"134,50","20,28"
101,"135,52","17,24"
102,"136,52","16,23"
103,"136,55","14,19"
104,"138,56","11,17"
